"gemeente"	"Amsterdamse code"	"begindatum"	"einddatum"	"CBS code"	"CBS code 1966"	"Wageningse code"	"Provincie"	"EGG"	"Corop"	"EUCLIDMIDX"	"EUCLIDMIDY"	"Wagextra"
"Wierden"	10676.00	1/1/1812 0:00:00	1/1/2009 0:00:00	189.00	189.00	4044.00	4.00	24.00	12.00	23433.00	48438.00	
"Wieringen"	11277.00	1/1/1812 0:00:00	1/1/2009 0:00:00	462.00	462.00	7097.00	7.00	51.00	18.00	12726.00	54689.00	
"Wieringermeer"	10239.00	7/1/1941 0:00:00	1/1/2009 0:00:00	463.00	463.00	7149.00	7.00	51.00	18.00			
"Wieringermeer, Openbaar Lichaam De"	10239.00	1/1/1938 0:00:00	7/1/1941 0:00:00				7.00					
"Wieringerwaard"	11164.00	1/1/1812 0:00:00	8/1/1970 0:00:00	464.00	464.00	7093.00	7.00	53.00	18.00	11881.00	53716.00	
"Wijchen"	10723.00	1/1/1812 0:00:00	1/1/2009 0:00:00	296.00	296.00	5026.00	5.00	40.00	15.00	17820.00	42473.00	
"Wijdemeren"	10534.00	1/1/2002 0:00:00	1/1/2009 0:00:00	1696.00			7.00					
"Wijdenes"	10631.00	5/1/1817 0:00:00	8/1/1970 0:00:00	469.00	469.00	7031.00	7.00	54.00	18.00	14052.00	51679.00	
"Wijdewormer"	10434.00	5/1/1817 0:00:00	1/1/1991 0:00:00	470.00	470.00	7071.00	7.00	57.00	23.00	12061.00	50017.00	
"Wijhe"	10888.00	1/1/1812 0:00:00	1/1/2001 0:00:00	190.00	190.00	4031.00	4.00	22.00	10.00	20829.00	49069.00	
"Wijk aan Zee en Duin"	11366.00	5/1/1817 0:00:00	5/1/1936 0:00:00	1229.00		7134.00	7.00	59.00		10440.00	50006.00	
"Wijk bij Duurstede"	10760.00	1/1/1812 0:00:00	1/1/2009 0:00:00	352.00	352.00	6027.00	6.00	45.00	17.00	15054.00	44326.00	
"Wijk en Aalburg"	11084.00	1/1/1812 0:00:00	1/1/1973 0:00:00	876.00	876.00	10113.00	10.00	105.00	34.00	13476.00	41911.00	
"Wijlre"	10131.00	1/1/1812 0:00:00	1/1/1982 0:00:00	991.00	991.00	11037.00	11.00	127.00	39.00	18771.00	31735.00	
"Wijnandsrade"	10992.00	1/1/1812 0:00:00	1/1/1982 0:00:00	992.00	992.00	11044.00	11.00	125.00	39.00	18967.00	32393.00	
"Wijngaarden"	10263.00	4/1/1817 0:00:00	1/1/1986 0:00:00	634.00	634.00	8126.00	8.00	77.00	30.00	11251.00	42925.00	
"Wildervank"	10825.00	1/1/1812 0:00:00	1/1/1969 0:00:00	1225.00	51.00	1015.00	1.00	4.00	1.00	25511.00	56226.00	
"Willemstad"	10827.00	1/1/1812 0:00:00	1/1/1997 0:00:00	872.00	872.00	10022.00	10.00	101.00	33.00	8982.00	40999.00	
"Willeskop"	10758.00	1/1/1818 0:00:00	1/1/1989 0:00:00	349.00	349.00	6047.00	6.00	49.00	17.00	12362.00	44831.00	
"Willige Langerak"	10368.00	1/1/1818 0:00:00	1/1/1943 0:00:00	1226.00		6043.00	6.00	49.00		12090.00	44050.00	
"Wilnis"	10365.00	1/1/1812 0:00:00	1/1/1989 0:00:00	350.00	350.00	6067.00	6.00	49.00	17.00	11996.00	46612.00	
"Wilp"	11388.00	1/1/1812 0:00:00	1/1/1818 0:00:00				5.00					
"Wilsum"	10194.00	1/1/1812 0:00:00	1/1/1937 0:00:00	1227.00		4061.00	4.00	20.00		19384.00	50454.00	
"Wimmenum"	10725.00	5/1/1817 0:00:00	9/8/1857 0:00:00	1397.00		7151.00	7.00	55.00		10597.00	51627.00	
"Windeweer"	10803.00	1/1/1812 0:00:00	8/1/1821 0:00:00				1.00					
"Winkel"	10923.00	1/1/1812 0:00:00	8/1/1970 0:00:00	465.00	465.00	7092.00	7.00	53.00	18.00	12234.00	53078.00	
"Winschoten"	10453.00	1/1/1812 0:00:00	1/1/2009 0:00:00	52.00	52.00	1003.00	1.00	3.00	1.00	26528.00	57349.00	
"Winssen"	11385.00	1/1/1812 0:00:00	1/1/1818 0:00:00				5.00					
"Winsum"	11135.00	1/1/1812 0:00:00	1/1/2009 0:00:00	53.00	53.00	1047.00	1.00	6.00	3.00	23000.00	59409.00	
"Winterswijk"	11119.00	1/1/1812 0:00:00	1/1/2009 0:00:00	294.00	294.00	5075.00	5.00	30.00	14.00	24742.00	44288.00	
"Wirdum"	10738.00	1/1/1812 0:00:00	10/1/1816 0:00:00				2.00					
"Wisch"	10318.00	1/1/1818 0:00:00	1/1/2005 0:00:00	295.00	295.00	5077.00	5.00	29.00	14.00	22592.00	43825.00	
"Wissekerke [ZBev]"	11436.00	1/1/1812 0:00:00	1/1/1816 0:00:00				9.00					
"Wissenkerke [NBev]"	10243.00	1/1/1812 0:00:00	1/1/1995 0:00:00	1253.00	727.00	9032.00	9.00	97.00	32.00	3951.00	39863.00	
"Witmarsum"	10454.00	1/1/1812 0:00:00	10/1/1816 0:00:00				2.00					
"Wittem"	11371.00	1/1/1812 0:00:00	1/1/1999 0:00:00	990.00	990.00	11020.00	11.00	127.00	39.00	19344.00	31230.00	
"Woensdrecht"	10602.00	1/1/1812 0:00:00	1/1/2009 0:00:00	873.00	873.00	10015.00	10.00	102.00	33.00	8018.00	38280.00	
"Woensel"	10894.00	1/1/1812 0:00:00	1/1/1920 0:00:00	1228.00		10182.00	10.00	113.00		15907.00	38678.00	
"Woerden"	10974.00	1/1/1989 0:00:00	1/1/2009 0:00:00	632.00	632.00	6071.00	6.00	73.00	28.00	11677.00	45898.00	"x"
"Woerden"	10974.00	1/1/1812 0:00:00	1/1/1989 0:00:00	632.00	632.00	8040.00	8.00	73.00	28.00	12158.00	45521.00	
"Wognum"	10818.00	1/1/1812 0:00:00	1/1/2009 0:00:00	466.00	466.00	7106.00	7.00	54.00	18.00	12928.00	52191.00	
"Wolphaartsdijk"	10543.00	1/1/1812 0:00:00	1/1/1970 0:00:00	728.00	728.00	9010.00	9.00	97.00	32.00	4436.00	39447.00	
"Wolvega"	11055.00	1/1/1812 0:00:00	10/1/1816 0:00:00				2.00					
"Wommels"	11290.00	1/1/1812 0:00:00	10/1/1816 0:00:00				2.00					
"Wonseradeel"	10454.00	10/1/1816 0:00:00	1/1/1987 0:00:00	99.00	99.00	2014.00	2.00	10.00	5.00	16188.00	56464.00	
"Workum"	10768.00	1/1/1812 0:00:00	1/1/1984 0:00:00	100.00	100.00	2015.00	2.00	10.00	5.00	16039.00	55265.00	
"Wormer"	10648.00	1/1/1812 0:00:00	1/1/1991 0:00:00	467.00	467.00	7072.00	7.00	58.00	22.00	11723.00	50189.00	
"Wormerland"	10648.00	1/1/1991 0:00:00	1/1/2009 0:00:00	880.00	880.00		7.00					
"Wormerveer"	10361.00	1/1/1812 0:00:00	1/1/1974 0:00:00	468.00	468.00	7098.00	7.00	58.00	22.00	11434.00	50134.00	
"Woubrugge"	10461.00	1/1/1812 0:00:00	1/1/1991 0:00:00	633.00	633.00	8023.00	8.00	72.00	28.00	10206.00	46509.00	
"Woudenberg"	11398.00	1/1/1812 0:00:00	1/1/2009 0:00:00	351.00	351.00	6020.00	6.00	43.00	17.00	15562.00	45458.00	
"Woudrichem"	10282.00	1/1/1812 0:00:00	1/1/2009 0:00:00	874.00	874.00	10110.00	10.00	105.00	34.00	12728.00	42451.00	
"Woudsend"	11427.00	1/1/1812 0:00:00	10/1/1816 0:00:00				2.00					
"Wouw"	10808.00	1/1/1812 0:00:00	1/1/1997 0:00:00	875.00	875.00	10013.00	10.00	102.00	33.00	8445.00	39096.00	
"Wulverhorst"	10817.00	1/1/1818 0:00:00	9/8/1857 0:00:00	1398.00		6092.00	6.00	49.00		12063.00	45272.00	
"Wûnseradiel"	10454.00	1/1/1987 0:00:00	1/1/2009 0:00:00			2014.00	2.00	10.00	5.00	16188.00	56464.00	
