"gemeente"	"Amsterdamse code"	"begindatum"	"einddatum"	"CBS code"	"CBS code 1966"	"Wageningse code"	"Provincie"	"EGG"	"Corop"	"EUCLIDMIDX"	"EUCLIDMIDY"	"Wagextra"
"Abcoude-Proostdij"	10712.00	1/1/1818 0:00:00	5/1/1941 0:00:00	1004.00		6065.00	6.00	48.00		12534.00	47349.00	
"Abstede"	11068.00	1/1/1818 0:00:00	8/1/1823 0:00:00				6.00					
"Abtsregt"	10946.00	4/1/1817 0:00:00	9/1/1855 0:00:00	1301.00		8194.00	8.00	82.00		8649.00	44516.00	
"Achthoven"	10141.00	1/1/1818 0:00:00	9/8/1857 0:00:00	1302.00		6091.00	6.00	49.00		12742.00	45237.00	
"Achtkarspelen"	10199.00	10/1/1816 0:00:00	1/1/2009 0:00:00	59.00	59.00	2033.00	2.00	9.00	4.00	20441.00	57988.00	
"Achttienhoven [Ut]"	10524.00	1/1/1818 0:00:00	1/1/1954 0:00:00	1005.00		6009.00	6.00	48.00		13741.00	46182.00	
"Achttienhoven [ZH]"	10972.00	4/1/1817 0:00:00	9/1/1855 0:00:00	1303.00		8232.00	8.00	72.00		11800.00	46195.00	
"Ackersdijk en Vrouwenregt"	10013.00	4/1/1817 0:00:00	9/1/1855 0:00:00	1304.00		8195.00	8.00	82.00		8753.00	44328.00	
"Adorp"	10996.00	1/1/1812 0:00:00	1/1/1990 0:00:00	1.00	1.00	1008.00	1.00	6.00	3.00	23128.00	58811.00	
"Aduard"	10999.00	1/1/1812 0:00:00	1/1/1990 0:00:00	2.00	2.00	1044.00	1.00	6.00	3.00	22646.00	58456.00	
"Aengwirden"	10157.00	10/1/1816 0:00:00	7/1/1934 0:00:00	1006.00		2043.00	2.00	9.00		19161.00	55656.00	
"Afferden [Ge]"	11015.00	1/1/1812 0:00:00	1/1/1818 0:00:00				5.00					
"Akersloot"	10346.00	1/1/1812 0:00:00	1/1/2002 0:00:00	360.00	360.00	7062.00	7.00	55.00	19.00	11255.00	50840.00	
"Akkrum"	10140.00	1/1/1812 0:00:00	10/1/1816 0:00:00				2.00					
"Alblasserdam"	11327.00	1/1/1812 0:00:00	1/1/2009 0:00:00	482.00	482.00	8129.00	8.00	76.00	30.00	10515.00	43049.00	
"Albrandswaard [1]"	10124.00	4/1/1817 0:00:00	1/1/1842 0:00:00	477.00	477.00	8217.00	8.00	86.00		8711.00	42945.00	
"Albrandswaard [2]"	10124.00	1/1/1985 0:00:00	1/1/2009 0:00:00	613.00	613.00	8217.00	8.00	86.00		8711.00	42945.00	
"Alem"	10745.00	1/1/1812 0:00:00	1/1/1821 0:00:00				10.00					
"Alem, Maren en Kessel"	10495.00	1/1/1821 0:00:00	1/1/1958 0:00:00	1007.00		10128.00	10.00	111.00		15448.00	42126.00	
"Alkemade"	10349.00	1/1/1812 0:00:00	1/1/2009 0:00:00	483.00	483.00	8022.00	8.00	72.00	25.00	10060.00	46775.00	
"Alkmaar"	10527.00	1/1/1812 0:00:00	1/1/2009 0:00:00	361.00	361.00	7084.00	7.00	55.00	19.00	11116.00	51415.00	
"Almelo [1]"	11053.00	1/1/1812 0:00:00	7/1/1818 0:00:00				4.00					
"Almelo [2]"	11053.00	1/1/1914 0:00:00	1/1/2009 0:00:00	141.00	141.00	4045.00	4.00	24.00	12.00	24210.00	48632.00	
"Almenum"	10001.00	1/1/1812 0:00:00	10/1/1816 0:00:00				2.00					
"Almere"	10018.00	1/1/1984 0:00:00	1/1/2009 0:00:00	34.00		12005.00	12.00	129.00	40.00			
"Almkerk"	10788.00	1/1/1812 0:00:00	1/1/1973 0:00:00	740.00	740.00	10111.00	10.00	105.00	34.00	12526.00	42136.00	
"Alphen"	10517.00	1/1/1812 0:00:00	1/1/1918 0:00:00	1008.00		8030.00	8.00		28.00	10620.00	45847.00	
"Alphen [Ge]"	10995.00	1/1/1812 0:00:00	1/1/1818 0:00:00				5.00					
"Alphen aan den Rijn"	10517.00	1/1/1918 0:00:00	1/1/2009 0:00:00	484.00	484.00	8030.00	8.00	73.00	28.00	10620.00	45847.00	
"Alphen en Riel"	10710.00	1/1/1812 0:00:00	1/1/1997 0:00:00	741.00	741.00	10040.00	10.00	108.00	34.00	12522.00	39051.00	
"Alphen-Chaam"	10710.00	1/1/1997 0:00:00	1/1/2009 0:00:00	1723.00			10.00					
"Ambt Almelo"	11065.00	7/1/1818 0:00:00	1/1/1914 0:00:00	1009.00		4045.00	4.00	24.00		24210.00	48632.00	
"Ambt Delden"	11400.00	7/1/1818 0:00:00	1/1/2001 0:00:00	142.00	142.00	4051.00	4.00	24.00	12.00	24204.00	47438.00	
"Ambt Doetinchem"	10396.00	1/1/1818 0:00:00	1/1/1920 0:00:00	1010.00		5071.00	5.00	27.00		21900.00	44144.00	
"Ambt Hardenberg"	10174.00	7/1/1818 0:00:00	5/1/1941 0:00:00	1011.00		4020.00	4.00	21.00		23841.00	50935.00	
"Ambt Montfort"	10456.00	2/1/1994 0:00:00	1/1/2009 0:00:00	1679.00			11.00					
"Ambt Ommen"	11069.00	7/1/1818 0:00:00	5/1/1923 0:00:00	1012.00		4022.00	4.00	21.00		22825.00	50457.00	
"Ambt Vollenhove"	11088.00	7/1/1818 0:00:00	2/1/1942 0:00:00	1013.00		4016.00	4.00	19.00		19608.00	52263.00	
"Amby"	10922.00	1/1/1812 0:00:00	7/1/1970 0:00:00	883.00	883.00	11032.00	11.00	126.00	39.00	17955.00	31918.00	
"Ameide"	11349.00	1/1/1812 0:00:00	1/1/1986 0:00:00	485.00	485.00	8098.00	8.00	77.00	30.00	12617.00	43971.00	
"Ameland"	11153.00	1/1/1812 0:00:00	1/1/2009 0:00:00	60.00	60.00	2041.00	2.00	13.00	4.00	18171.00	60638.00	
"Amerongen"	11372.00	1/1/1812 0:00:00	1/1/2006 0:00:00	306.00	306.00	6024.00	6.00	44.00	17.00	15948.00	44715.00	
"Amersfoort"	10948.00	1/1/1812 0:00:00	1/1/2009 0:00:00	307.00	307.00	6017.00	6.00	43.00	17.00	15377.00	46162.00	
"Ammerstol"	10863.00	4/1/1817 0:00:00	1/1/1985 0:00:00	486.00	486.00	8009.00	8.00	75.00	28.00	11485.00	43788.00	
"Ammerzoden"	10151.00	1/1/1812 0:00:00	1/1/1999 0:00:00	198.00	198.00	5007.00	5.00	42.00	16.00	14220.00	41789.00	
"Amstelveen"	10799.00	1/1/1964 0:00:00	1/1/2009 0:00:00	362.00	362.00	7116.00	7.00	64.00	23.00	12010.00	48048.00	
"Amstenrade"	10062.00	1/1/1812 0:00:00	1/1/1982 0:00:00	884.00	884.00	11043.00	11.00	125.00	39.00	19332.00	32813.00	
"Amsterdam"	11150.00	1/1/1812 0:00:00	1/1/2009 0:00:00	363.00	363.00	7075.00	7.00	63.00		12305.00	48809.00	
"Andel"	10871.00	1/1/1812 0:00:00	1/1/1973 0:00:00	742.00	742.00	10003.00	10.00	105.00	34.00	13192.00	42075.00	
"Andijk"	10822.00	1/1/1812 0:00:00	1/1/2009 0:00:00	364.00	364.00	7103.00	7.00	54.00	18.00	14330.00	52722.00	
"Angerlo"	11131.00	1/1/1812 0:00:00	1/1/2005 0:00:00	199.00	199.00	5067.00	5.00	26.00	15.00	20282.00	44525.00	
"Anjum"	10158.00	1/1/1812 0:00:00	10/1/1816 0:00:00				2.00					
"Ankeveen"	10936.00	1/1/1818 0:00:00	8/1/1966 0:00:00	1014.00	365.00	7014.00	7.00	65.00	24.00	13499.00	47468.00	
"Anloo"	10787.00	1/1/1812 0:00:00	1/1/1998 0:00:00	105.00	105.00	3027.00	3.00	16.00	7.00	24580.00	56132.00	
"Anna Paulowna"	10344.00	8/1/1870 0:00:00	1/1/2009 0:00:00	366.00	366.00	7094.00	7.00	52.00	18.00			
"Apeldoorn"	11075.00	1/1/1812 0:00:00	1/1/2009 0:00:00	200.00	200.00	5099.00	5.00	33.00	13.00	18997.00	46562.00	
"Appeltern"	11296.00	1/1/1812 0:00:00	1/1/1984 0:00:00	201.00	201.00	5019.00	5.00	41.00	16.00	16373.00	42680.00	
"Appingedam"	10886.00	1/1/1812 0:00:00	1/1/2009 0:00:00	3.00	3.00	1027.00	1.00	2.00	2.00	25234.00	59302.00	
"Arcen en Velden"	10202.00	1/1/1816 0:00:00	1/1/2009 0:00:00	885.00	885.00	11084.00	11.00	120.00	37.00	21075.00	38487.00	
"Arkel"	10079.00	4/1/1817 0:00:00	1/1/1986 0:00:00	487.00	487.00	8119.00	8.00	76.00	30.00	12769.00	43036.00	
"Arnemuiden"	11419.00	1/1/1812 0:00:00	1/1/1997 0:00:00	649.00	649.00	9038.00	9.00	96.00	32.00	3658.00	39212.00	
"Arnhem"	10795.00	1/1/1812 0:00:00	1/1/2009 0:00:00	202.00	202.00	5095.00	5.00	35.00	15.00	18878.00	44635.00	
"Arum"	11440.00	1/1/1812 0:00:00	10/1/1816 0:00:00				2.00					
"Asperen"	11369.00	1/1/1812 0:00:00	1/1/1986 0:00:00	488.00	488.00	8003.00	8.00	78.00	30.00	13533.00	43234.00	
"Assen"	10522.00	1/1/1812 0:00:00	1/1/2009 0:00:00	106.00	106.00	3028.00	3.00	17.00	7.00	23383.00	55622.00	
"Assendelft"	11373.00	1/1/1812 0:00:00	1/1/1974 0:00:00	367.00	367.00	7114.00	7.00	58.00	22.00	11011.00	49803.00	
"Asten"	10478.00	1/1/1812 0:00:00	1/1/2009 0:00:00	743.00	743.00	10061.00	10.00	118.00	36.00	18257.00	37768.00	
"Augustinusga"	11060.00	1/1/1812 0:00:00	10/1/1816 0:00:00				2.00					
"Avenhorn"	11147.00	1/1/1812 0:00:00	1/1/1979 0:00:00	368.00	368.00	7050.00	7.00	54.00	18.00	12468.00	51457.00	
"Avereest"	11190.00	7/1/1818 0:00:00	1/1/2001 0:00:00	143.00	143.00	4019.00	4.00	21.00	10.00	22210.00	51543.00	
"Axel"	11289.00	1/1/1812 0:00:00	1/1/2003 0:00:00	650.00	650.00	9099.00	9.00	99.00	31.00	5189.00	36626.00	
"Baambrugge"	11184.00	1/1/1812 0:00:00	1/1/1818 0:00:00				6.00					
"Baarderadeel"	10422.00	10/1/1816 0:00:00	1/1/1984 0:00:00	61.00	61.00	2027.00	2.00	10.00	4.00	17488.00	57069.00	
"Baardwijk"	10006.00	1/1/1812 0:00:00	1/1/1922 0:00:00	1015.00		10154.00	10.00	106.00		13432.00	41215.00	
"Baarland"	10634.00	1/1/1812 0:00:00	1/1/1970 0:00:00	651.00	651.00	9031.00	9.00	97.00		4997.00	38232.00	
"Baarle-Nassau"	10060.00	1/1/1812 0:00:00	1/1/2009 0:00:00	744.00	744.00	10039.00	10.00	108.00	34.00	12011.00	38346.00	
"Baarn"	11411.00	1/1/1812 0:00:00	1/1/2009 0:00:00	308.00	308.00	6012.00	6.00	44.00	17.00	14730.00	46799.00	
"Baexem"	11255.00	1/1/1812 0:00:00	1/1/1991 0:00:00	886.00	886.00	11102.00	11.00	123.00	38.00	18824.00	36022.00	
"Baflo"	10539.00	1/1/1812 0:00:00	1/1/1990 0:00:00	4.00	4.00	1033.00	1.00	1.00	3.00	23059.00	59992.00	
"Bakel"	10749.00	1/1/1812 0:00:00	5/8/1819 0:00:00				10.00					
"Bakel en Milheeze"	10749.00	5/8/1819 0:00:00	1/1/1997 0:00:00	745.00	745.00	10063.00	10.00	118.00	36.00	18103.00	39210.00	
"Balgoij"	10849.00	1/1/1812 0:00:00	5/1/1923 0:00:00	1016.00		5114.00	5.00	40.00		17682.00	42163.00	
"Balk"	10036.00	1/1/1812 0:00:00	10/1/1816 0:00:00				2.00					
"Bangert"	10642.00	1/1/1979 0:00:00	1/1/1980 0:00:00	1246.00		7104.00	7.00	54.00	18.00	14044.00	52293.00	
"Barendrecht [1]"	10943.00	1/1/1812 0:00:00	4/1/1817 0:00:00				8.00					
"Barendrecht [2]"	10943.00	1/1/1905 0:00:00	1/1/2009 0:00:00	489.00	489.00	8145.00	8.00	86.00		9372.00	42944.00	
"Barneveld"	10906.00	1/1/1812 0:00:00	1/1/2009 0:00:00	203.00	203.00	5111.00	5.00	31.00	13.00	17370.00	46465.00	
"Barradeel"	10156.00	10/1/1816 0:00:00	1/1/1984 0:00:00	62.00	62.00	2012.00	2.00	12.00	4.00	16382.00	57973.00	
"Barsingerhorn"	10973.00	1/1/1812 0:00:00	1/1/1990 0:00:00	369.00	369.00	7091.00	7.00	53.00	18.00	11963.00	53411.00	
"Barwoutswaarder"	10447.00	4/1/1817 0:00:00	2/1/1964 0:00:00	1017.00		8007.00	8.00	73.00		11690.00	45450.00	
"Batenburg"	10921.00	1/1/1812 0:00:00	1/1/1984 0:00:00	204.00	204.00	5022.00	5.00	41.00	15.00	17224.00	42638.00	
"Bath"	10623.00	1/1/1816 0:00:00	1/1/1878 0:00:00	1018.00		9020.00	9.00	97.00		6948.00	38176.00	
"Bathmen"	11030.00	1/1/1812 0:00:00	1/1/2005 0:00:00	144.00	144.00	4036.00	4.00	22.00	11.00	21865.00	47403.00	
"Bedum"	10425.00	1/1/1812 0:00:00	1/1/2009 0:00:00	5.00	5.00	1055.00	1.00	1.00	3.00	23600.00	59005.00	
"Beegden"	11089.00	1/1/1812 0:00:00	1/1/1991 0:00:00	887.00	887.00	11094.00	11.00	123.00	38.00	19256.00	35656.00	
"Beek [Ge]"	10408.00	1/1/1812 0:00:00	1/1/1818 0:00:00				5.00					
"Beek [Li]"	11374.00	1/1/1812 0:00:00	1/1/2009 0:00:00	888.00	888.00	11052.00	11.00	124.00	39.00	18415.00	32845.00	
"Beek [NB]"	11354.00	1/1/1942 0:00:00	1/1/1951 0:00:00	1247.00		10029.00	10.00	104.00	33.00	10895.00	40012.00	
"Beek en Donk"	10173.00	1/1/1812 0:00:00	1/1/1997 0:00:00	746.00	746.00	10077.00	10.00	115.00	36.00	17147.00	39503.00	
"Beekbergen"	11390.00	1/1/1812 0:00:00	1/1/1818 0:00:00				5.00					
"Beemster"	10816.00	1/1/1812 0:00:00	1/1/2009 0:00:00	370.00	370.00	7066.00	7.00	56.00		12299.00	50818.00	
"Beers"	11410.00	1/1/1812 0:00:00	1/1/1994 0:00:00	747.00	747.00	10146.00	10.00	119.00	35.00	18467.00	41496.00	
"Beerta"	11043.00	1/1/1812 0:00:00	7/1/1991 0:00:00	6.00	6.00	1020.00	1.00	3.00	1.00	27236.00	57940.00	
"Beesd"	10259.00	1/1/1812 0:00:00	1/1/1978 0:00:00	205.00	205.00	5037.00	5.00	38.00	16.00	14096.00	43456.00	
"Beesel"	10195.00	1/1/1812 0:00:00	1/1/2009 0:00:00	889.00	889.00	11080.00	11.00	121.00	37.00	20251.00	36489.00	
"Beets"	10536.00	1/1/1812 0:00:00	8/1/1970 0:00:00	371.00	371.00	7027.00	7.00	56.00	23.00	12728.00	51119.00	
"Beetsterzwaag"	10987.00	1/1/1812 0:00:00	10/1/1816 0:00:00				2.00					
"Beilen"	10520.00	1/1/1812 0:00:00	1/1/1998 0:00:00	107.00	107.00	3016.00	3.00	17.00	9.00	22994.00	53971.00	
"Belfeld"	10292.00	1/1/1812 0:00:00	1/1/2001 0:00:00	890.00	890.00	11081.00	11.00	121.00	37.00	20633.00	36866.00	
"Bellingwedde"	10340.00	9/1/1968 0:00:00	1/1/2009 0:00:00	7.00		1012.00	1.00	3.00	1.00	27346.00	56723.00	
"Bellingwolde"	10340.00	1/1/1812 0:00:00	9/1/1968 0:00:00	1019.00	7.00	1012.00	1.00	3.00	1.00	27346.00	56723.00	
"Beltrum"	10251.00	1/1/1812 0:00:00	4/13/1819 0:00:00				5.00					
"Bemelen"	10878.00	1/1/1812 0:00:00	1/1/1982 0:00:00	891.00	891.00	11001.00	11.00	127.00	39.00	18211.00	31795.00	
"Bemmel"	10744.00	1/1/1812 0:00:00	1/1/2003 0:00:00	206.00	206.00	5058.00	5.00	37.00	15.00	19287.00	43458.00	
"Bennebroek"	10734.00	5/1/1817 0:00:00	1/1/2009 0:00:00	372.00	372.00	7020.00	7.00	61.00	21.00	10105.00	48158.00	
"Bennekom"	11179.00	1/1/1812 0:00:00	1/1/1818 0:00:00				5.00					
"Benschop"	11330.00	1/1/1812 0:00:00	1/1/1989 0:00:00	309.00	309.00	6045.00	6.00	49.00	17.00	12584.00	44646.00	
"Benthorn"	11267.00	4/1/1817 0:00:00	1/1/1846 0:00:00	1305.00		8233.00	8.00	83.00		9823.00	45366.00	
"Benthuizen"	10398.00	4/1/1817 0:00:00	1/1/1991 0:00:00	490.00	490.00	8046.00	8.00	83.00	28.00	9722.00	45599.00	
"Berg en Terblijt"	10796.00	1/1/1812 0:00:00	1/1/1982 0:00:00	892.00	892.00	11034.00	11.00	127.00	39.00	18339.00	31928.00	
"Bergambacht"	10962.00	1/1/1812 0:00:00	1/1/2009 0:00:00	491.00	491.00	8074.00	8.00	75.00	28.00	11425.00	43929.00	
"Bergeijk"	11160.00	9/25/1998 0:00:00	1/1/2009 0:00:00	1724.00		10051.00	10.00	116.00	36.00	14933.00	36857.00	
"Bergen [Li]"	11281.00	1/1/1812 0:00:00	1/1/2009 0:00:00	893.00	893.00	11085.00	11.00	120.00	37.00	20340.00	40070.00	
"Bergen [NH]"	11424.00	1/1/1812 0:00:00	1/1/2009 0:00:00	373.00	373.00	7086.00	7.00	55.00	19.00	10794.00	52003.00	
"Bergen op Zoom"	11037.00	1/1/1812 0:00:00	1/1/2009 0:00:00	748.00	748.00	10014.00	10.00	102.00	33.00	8010.00	39058.00	
"Bergeyk"	11160.00	1/1/1812 0:00:00	9/25/1998 0:00:00	749.00	749.00	10051.00	10.00	116.00	36.00	14933.00	36857.00	
"Bergh"	10350.00	1/30/1820 0:00:00	1/1/2005 0:00:00	207.00	207.00	5069.00	5.00	27.00	14.00	21397.00	43516.00	
"Bergharen"	10883.00	1/1/1812 0:00:00	1/1/1984 0:00:00	208.00	208.00	5023.00	5.00	41.00	15.00	17468.00	42835.00	
"Berghem"	10733.00	1/1/1812 0:00:00	1/1/1994 0:00:00	750.00	750.00	10152.00	10.00	111.00		16772.00	41978.00	
"Bergschenhoek"	10445.00	1/1/1812 0:00:00	1/1/2009 0:00:00	492.00	492.00	8071.00	8.00	83.00		9456.00	44409.00	
"Bergum"	11241.00	1/1/1812 0:00:00	10/1/1816 0:00:00				2.00					
"Berkel en Rodenrijs"	10139.00	1/1/1812 0:00:00	1/1/2009 0:00:00	493.00	493.00	8059.00	8.00	83.00	29.00	9145.00	44670.00	
"Berkel-Enschot"	11132.00	1/1/1812 0:00:00	1/1/1997 0:00:00	751.00	751.00	10096.00	10.00	108.00	34.00	13825.00	39813.00	
"Berkelland"	10436.00	1/1/2005 0:00:00	1/1/2009 0:00:00	1859.00			5.00					
"Berkenrode"	10223.00	5/1/1817 0:00:00	9/8/1857 0:00:00	1306.00		7150.00	7.00		61.00	10158.00	48430.00	
"Berkenwoude"	10797.00	1/1/1812 0:00:00	1/1/1985 0:00:00	494.00	494.00	8068.00	8.00	75.00	28.00	10752.00	44103.00	
"Berkhout"	10354.00	1/1/1812 0:00:00	1/1/1979 0:00:00	374.00	374.00	7051.00	7.00	54.00	18.00	12735.00	51835.00	
"Berlicum"	10362.00	1/1/1812 0:00:00	1/1/1996 0:00:00	752.00	752.00	10126.00	10.00	110.00		15624.00	40954.00	
"Berlikum"	11117.00	1/1/1812 0:00:00	10/1/1816 0:00:00				2.00					
"Bernheze"	10149.00	1/28/1995 0:00:00	1/1/2009 0:00:00	1721.00			10.00					
"Bernisse"	10316.00	1/1/1980 0:00:00	1/1/2009 0:00:00	568.00	568.00	8153.00	8.00	91.00		7590.00	42539.00	
"Besoijen"	10056.00	1/1/1812 0:00:00	1/1/1922 0:00:00	1020.00		10155.00	10.00	106.00		13088.00	41161.00	
"Best"	10442.00	1/1/1821 0:00:00	1/1/2009 0:00:00	753.00	753.00	10072.00	10.00	114.00	36.00	15555.00	39137.00	
"Beugen en Rijkevoort"	10252.00	1/1/1812 0:00:00	5/1/1942 0:00:00	1021.00		10084.00	10.00	119.00		18754.00	40609.00	
"Beuningen"	10417.00	1/1/1812 0:00:00	1/1/2009 0:00:00	209.00	209.00	5025.00	5.00	40.00	15.00	18156.00	42973.00	
"Beusichem"	11182.00	1/1/1812 0:00:00	1/1/1978 0:00:00	210.00	210.00	5039.00	5.00	38.00	16.00	14709.00	43958.00	
"Beverwijk"	10272.00	1/1/1812 0:00:00	1/1/2009 0:00:00	375.00	375.00	7079.00	7.00	59.00	20.00	10564.00	49923.00	
"Biert"	10686.00	4/1/1817 0:00:00	9/1/1855 0:00:00	1307.00		8227.00	8.00	91.00		7819.00	42729.00	
"Bierum"	11294.00	1/1/1812 0:00:00	1/1/1990 0:00:00	8.00	8.00	1028.00	1.00	1.00	2.00	25175.00	60069.00	
"Biervliet"	10257.00	1/1/1812 0:00:00	4/1/1970 0:00:00	652.00	652.00	9093.00	9.00	98.00	31.00	3464.00	37168.00	
"Biesland"	10074.00	4/1/1817 0:00:00	1/1/1833 0:00:00	1308.00		8289.00	8.00	82.00		8689.00	44880.00	
"Biggekerke"	11364.00	1/1/1812 0:00:00	7/1/1966 0:00:00	1022.00	653.00	9043.00	9.00	96.00	32.00	2564.00	39145.00	
"Bijlmermeer"	11272.00	5/1/1817 0:00:00	1/1/1848 0:00:00	1309.00		7146.00	7.00	63.00		12690.00	48122.00	
"Bingelrade"	10967.00	1/1/1812 0:00:00	1/1/1982 0:00:00	894.00	894.00	11009.00	11.00	125.00	39.00	19357.00	33157.00	
"Binnenmaas"	10222.00	1/1/1984 0:00:00	1/1/2009 0:00:00	585.00	585.00	8167.00	8.00	92.00	29.00	5329.00	42560.00	
"Bladel"	11006.00	1/1/1997 0:00:00	1/1/2009 0:00:00	1728.00			10.00					
"Bladel en Netersel"	11006.00	1/1/1812 0:00:00	1/1/1997 0:00:00	754.00	754.00	10047.00	10.00	116.00	36.00	14296.00	37604.00	
"Blankenham"	10320.00	7/1/1818 0:00:00	1/1/1973 0:00:00	145.00	145.00	4011.00	4.00	19.00	10.00	18943.00	53178.00	
"Blaricum"	10493.00	5/1/1817 0:00:00	1/1/2009 0:00:00	376.00	376.00	7011.00	7.00	67.00	24.00	14592.00	47633.00	
"Bleiswijk"	10994.00	1/1/1812 0:00:00	1/1/2009 0:00:00	495.00	495.00	8060.00	8.00	83.00		9630.00	44868.00	
"Bleskensgraaf"	10451.00	1/1/1812 0:00:00	9/1/1855 0:00:00	1262.00		8125.00	8.00	77.00		11150.00	43132.00	
"Bleskensgraaf en Hofwegen"	10451.00	9/1/1855 0:00:00	1/1/1986 0:00:00	496.00	496.00	8125.00	8.00	77.00	30.00	11150.00	43132.00	
"Blija"	10226.00	1/1/1812 0:00:00	10/1/1816 0:00:00				2.00					
"Bloemendaal"	10850.00	1/1/1812 0:00:00	1/1/2009 0:00:00	377.00	377.00	7109.00	7.00	61.00	21.00	10058.00	48740.00	
"Blokker"	10804.00	1/1/1812 0:00:00	1/1/1979 0:00:00	378.00	378.00	7107.00	7.00	54.00	18.00	13620.00	51857.00	
"Blokzijl"	10689.00	1/1/1812 0:00:00	1/1/1973 0:00:00	146.00	146.00	4007.00	4.00	19.00	10.00	19292.00	52617.00	
"Boarnsterhim"	10815.00	1/3/1985 0:00:00	1/1/2009 0:00:00	55.00	55.00	2047.00	2.00	10.00	4.00			
"Bocholtz"	10986.00	1/1/1812 0:00:00	1/1/1982 0:00:00	895.00	895.00	11018.00	11.00	125.00	39.00	19825.00	31482.00	
"Bodegraven"	11091.00	1/1/1812 0:00:00	1/1/2009 0:00:00	497.00	497.00	8038.00	8.00	73.00	28.00	11316.00	45625.00	
"Boekel"	10432.00	1/1/1812 0:00:00	1/1/2009 0:00:00	755.00	755.00	10088.00	10.00	112.00		17601.00	40208.00	
"Bokhoven"	11083.00	1/1/1812 0:00:00	1/1/1922 0:00:00	1023.00		10156.00	10.00	110.00		14423.00	41605.00	
"Bolsward"	10865.00	1/1/1812 0:00:00	1/1/2009 0:00:00	64.00	64.00	2007.00	2.00	10.00	5.00	16409.00	56360.00	
"Bommenede"	10785.00	1/1/1812 0:00:00	4/4/1866 0:00:00	1025.00		9110.00	9.00	93.00		5487.00	41582.00	
"Boornsterhem"	10815.00	1/1/1984 0:00:00	1/3/1985 0:00:00	57.00	57.00	2047.00	2.00	10.00	4.00			
"Borculo"	11307.00	1/1/1812 0:00:00	1/1/2005 0:00:00	211.00	211.00	5087.00	5.00	28.00	14.00	23343.00	46081.00	
"Borger"	10448.00	1/1/1812 0:00:00	1/1/1998 0:00:00	108.00	108.00	3024.00	3.00	16.00	7.00	25350.00	54953.00	
"Borger-Odoorn"	10448.00	1/1/1998 0:00:00	1/1/2009 0:00:00	1681.00			3.00					
"Borgharen"	11334.00	1/1/1812 0:00:00	7/1/1970 0:00:00	896.00	896.00	11004.00	11.00	127.00	39.00	17661.00	32167.00	
"Borkel en Schaft"	11013.00	1/1/1812 0:00:00	5/1/1934 0:00:00	1026.00		10157.00	10.00	117.00		15797.00	36733.00	
"Born"	10927.00	1/1/1812 0:00:00	1/1/2001 0:00:00	897.00	897.00	11063.00	11.00	124.00	39.00	18470.00	33865.00	
"Borne"	10326.00	1/1/1812 0:00:00	1/1/2009 0:00:00	147.00	147.00	4050.00	4.00	24.00	12.00	24489.00	48110.00	
"Borsele"	10043.00	1/1/1970 0:00:00	1/1/2009 0:00:00	654.00	654.00	9022.00	9.00	97.00	32.00	4089.00	38433.00	
"Borssele"	10043.00	1/1/1812 0:00:00	1/1/1970 0:00:00	1254.00		9022.00	9.00	97.00	32.00	4089.00	38433.00	
"Boschkapelle"	10605.00	1/1/1812 0:00:00	7/1/1936 0:00:00	1027.00		9107.00	9.00	100.00		5571.00	37147.00	
"Boskoop"	10419.00	1/1/1812 0:00:00	1/1/2009 0:00:00	499.00	499.00	8047.00	8.00	73.00	28.00	10509.00	45457.00	
"Bourtange"	10332.00	1/1/1812 0:00:00	1/1/1822 0:00:00				1.00					
"Bovenkarspel"	10945.00	1/1/1812 0:00:00	1/1/1979 0:00:00	379.00	379.00	7032.00	7.00	54.00	18.00	14531.00	52454.00	
"Boxmeer"	11227.00	1/1/1812 0:00:00	1/1/2009 0:00:00	756.00	756.00	10080.00	10.00	119.00		19297.00	40705.00	
"Boxtel"	10083.00	1/1/1812 0:00:00	1/1/2009 0:00:00	757.00	757.00	10093.00	10.00	110.00		14954.00	40036.00	
"Bozum"	10422.00	1/1/1812 0:00:00	10/1/1816 0:00:00				2.00					
"Brakel"	11125.00	1/1/1812 0:00:00	1/1/1999 0:00:00	212.00	212.00	5013.00	5.00	42.00	16.00	13405.00	42451.00	
"Brandwijk"	10169.00	4/1/1817 0:00:00	1/1/1986 0:00:00	500.00	500.00	8112.00	8.00	77.00	30.00	11527.00	43368.00	
"Breda"	10154.00	1/1/1812 0:00:00	1/1/2009 0:00:00	758.00	758.00	10036.00	10.00	103.00	33.00	11262.00	40036.00	
"Brederwiede"	11088.00	1/1/1973 0:00:00	1/1/2001 0:00:00	194.00	194.00	4016.00	4.00	19.00	10.00	19608.00	52263.00	
"Bredevoort"	11295.00	1/1/1812 0:00:00	1/1/1818 0:00:00				5.00					
"Bree"	11352.00	1/1/1812 0:00:00	2/14/1818 0:00:00				11.00					
"Breskens"	10233.00	1/1/1812 0:00:00	4/1/1970 0:00:00	655.00	655.00	9079.00	9.00	98.00	31.00	2576.00	38026.00	
"Breukelen [1]"	10807.00	1/1/1812 0:00:00	1/1/1818 0:00:00				6.00					
"Breukelen [2]"	10807.00	1/1/1949 0:00:00	1/1/2009 0:00:00	311.00	311.00	6061.00	6.00	48.00	17.00	12673.00	46369.00	
"Breukelen-Nijenrode"	10807.00	1/1/1818 0:00:00	1/1/1949 0:00:00	1028.00		6061.00	6.00	48.00		12673.00	46369.00	
